,AIRPORTS,MONTH,YEAR,PAX,MOVEMENTS,CARGO (KG)
0,A CORUÑA,1,2010,72597,1163,23425
1,ADOLFO SUAREZ MADRID-BARAJAS,1,2010,3456709,33818,26325809
2,ALBACETE,1,2010,541,102,0
3,ALICANTE-ELCHE,1,2010,467353,4395,232120
4,ALMERIA,1,2010,44204,1198,1009
5,ASTURIAS,1,2010,77113,1039,6584
6,BADAJOZ,1,2010,3592,224,0
7,BARCELONA-EL PRAT J.T.,1,2010,1672945,19087,7124557
8,BILBAO,1,2010,229071,3811,184124
9,BURGOS,1,2010,803,135,0
10,CEUTA-HELIPUERTO,1,2010,1433,192,51
11,CORDOBA,1,2010,740,604,0
12,EL HIERRO,1,2010,12691,350,10911
13,FGL GRANADA-JAEN,1,2010,81503,1152,3078
14,FUERTEVENTURA,1,2010,290339,2915,148343
15,GIRONA-COSTA BRAVA,1,2010,281056,3153,753
16,GRAN CANARIA,1,2010,860795,9271,2022029
17,HUESCA-PIRINEOS,1,2010,1525,941,0
18,IBIZA,1,2010,90797,1750,159587
19,JEREZ DE LA FRONTERA,1,2010,51246,2315,4566
20,LA GOMERA,1,2010,2240,145,799
21,LA PALMA,1,2010,84738,1529,104612
22,LANZAROTE-CESAR MANRIQUE,1,2010,379425,3621,254063
23,LEON,1,2010,5573,243,271
24,LOGROÑO,1,2010,942,167,0
25,MADRID-CUATRO VIENTOS,1,2010,2,2017,0
26,MADRID-TORREJON,1,2010,2265,920,0
27,MALAGA-COSTA DEL SOL,1,2010,545919,6166,254278
28,MELILLA,1,2010,21567,710,29685
29,MENORCA,1,2010,57264,1178,146110
30,MURCIA-SAN JAVIER,1,2010,58361,747,329
31,PALMA DE MALLORCA,1,2010,698346,8161,1082954
32,PAMPLONA,1,2010,19501,663,6294
33,REUS,1,2010,31068,1321,0
34,SABADELL,1,2010,0,2730,0
35,SALAMANCA,1,2010,1367,567,0
36,SAN SEBASTIAN,1,2010,18015,574,1282
37,SANTIAGO-ROSALIA DE CASTRO,1,2010,123391,1387,127847
38,SEVE BALLESTEROS-SANTANDER,1,2010,54117,1214,0
39,SEVILLA,1,2010,247265,3908,371384
40,SON BONET,1,2010,0,694,0
41,TENERIFE NORTE-C. LA LAGUNA,1,2010,300966,5048,1200024
42,TENERIFE SUR,1,2010,687684,4946,419945
43,VALENCIA,1,2010,279738,5083,750909
44,VALLADOLID,1,2010,17767,473,3743
45,VIGO,1,2010,72319,1014,63129
46,VITORIA,1,2010,997,424,2057995
47,ZARAGOZA,1,2010,29419,782,3360032
48,A CORUÑA,2,2010,78861,1258,17600
49,ADOLFO SUAREZ MADRID-BARAJAS,2,2010,3433596,32694,27658366
50,ALBACETE,2,2010,610,82,0
51,ALICANTE-ELCHE,2,2010,505675,4455,252101
52,ALMERIA,2,2010,62619,1236,447
53,ASTURIAS,2,2010,88552,1063,7503
54,BADAJOZ,2,2010,4092,194,0
55,BARCELONA-EL PRAT J.T.,2,2010,1828004,19222,7598788
56,BILBAO,2,2010,262041,4041,180228
57,BURGOS,2,2010,977,193,0
58,CEUTA-HELIPUERTO,2,2010,1544,186,109
59,CORDOBA,2,2010,507,437,0
60,EL HIERRO,2,2010,10711,252,10976
61,FGL GRANADA-JAEN,2,2010,87129,1013,5472
62,FUERTEVENTURA,2,2010,292101,2744,133702
63,GIRONA-COSTA BRAVA,2,2010,292677,2962,430
64,GRAN CANARIA,2,2010,814546,8290,1983276
65,HUESCA-PIRINEOS,2,2010,1983,1169,0
66,IBIZA,2,2010,101114,1727,154774
67,JEREZ DE LA FRONTERA,2,2010,59667,2044,11599
68,LA GOMERA,2,2010,1775,98,772
69,LA PALMA,2,2010,66908,1178,91883
70,LANZAROTE-CESAR MANRIQUE,2,2010,370075,3283,269496
71,LEON,2,2010,5838,316,261
72,LOGROÑO,2,2010,1619,344,0
73,MADRID-CUATRO VIENTOS,2,2010,6,3140,0
74,MADRID-TORREJON,2,2010,2032,883,0
75,MALAGA-COSTA DEL SOL,2,2010,603501,5957,218736
76,MELILLA,2,2010,20132,648,28392
77,MENORCA,2,2010,62901,1161,151656
78,MURCIA-SAN JAVIER,2,2010,60209,723,127
79,PALMA DE MALLORCA,2,2010,780156,8246,1175142
80,PAMPLONA,2,2010,21953,722,3597
81,REUS,2,2010,30035,1531,1235
82,SABADELL,2,2010,0,2552,0
83,SALAMANCA,2,2010,1497,718,0
84,SAN SEBASTIAN,2,2010,21880,639,1072
85,SANTIAGO-ROSALIA DE CASTRO,2,2010,137379,1437,127393
86,SEVE BALLESTEROS-SANTANDER,2,2010,57056,1220,0
87,SEVILLA,2,2010,279245,3791,363883
88,SON BONET,2,2010,0,725,0
89,TENERIFE NORTE-C. LA LAGUNA,2,2010,280846,4308,1210365
90,TENERIFE SUR,2,2010,639599,4377,381772
91,VALENCIA,2,2010,307712,5455,801465
